date,base_money,cpi_core,cpi_headline,cpi_regulated,cpi_seasonal,deposits_usd_priv,emae,embi,fiscal_financial,fiscal_primary,fx_blue,fx_ccl,fx_mep,fx_official_a3500,fx_official_retail,gdp_nominal,itcrm,m2_transac,rem_infl_12m,reserves_gross,infl_headline,infl_core,infl_regulated,infl_seasonal,gap_blue,gap_ccl,real_base,real_m2,phase,phase_label
2022-01-01,3702429.095238095,625.1594,605.0317,512.3766,658.2543,15534.095238095239,139.63796162489982,1840.0,-150663.83344600015,-16698.03344600019,209.95238095238096,215.70499999999998,207.08666666666667,103.98460000000001,106.52380952380952,60345325.42659544,101.5609888629702,5805892.589666666,55.8,38995.42380952381,,,,,101.90718717231294,107.43937082991133,611939.6876623316,959601.3877730153,0,Peronist baseline
2022-02-01,3766891.1578947366,652.9838,633.4341,528.2683,713.7013,15254.0,137.8495135303948,1764.421052631579,-136898.79999999976,-76283.49999999977,211.55,211.7725925925926,204.55703703703705,106.3071105263158,109.0,,102.63960917851016,5764856.805684211,54.8,37286.66842105263,4.6943656010089985,4.450768875905875,3.101566308843906,8.423340341263241,98.99891827803171,99.20830464126793,594677.6717411862,910095.7472425642,0,Peronist baseline
2022-03-01,3663134.8095238097,694.7515,676.0566,572.7992,757.8963,15244.761904761905,153.93085077631503,1819.0869565217392,-172029.30000000005,-99753.30000000005,200.08695652173913,196.86478260869566,194.70782608695652,109.45849999999999,111.78260869565217,,101.52880107653398,5751830.681142857,56.6,38588.46666666667,6.7287978339025445,6.396437400131516,8.429599126050169,6.192366470398758,82.79709343882764,79.85335319659568,541838.4806129856,850791.2919040888,0,Peronist baseline
2022-04-01,3615568.8421052634,741.3622,716.9399,595.2223,799.0308,15335.631578947368,157.66169211629364,1728.25,-146314.60000000027,-79184.80000000028,197.23809523809524,196.5647619047619,196.58380952380952,113.33447368421052,115.66666666666667,78676963.28324091,100.21137061873988,5848349.852684211,56.2,42987.47368421053,6.047319114997163,6.708974359897035,3.9146528137609105,5.427457555868798,74.03186235078793,73.43775068163289,504305.7084848066,815737.8118701737,0,Peronist baseline
2022-05-01,3708232.95,779.9267,753.147,629.0029,825.8088,15387.1,164.68936308999193,1883.409090909091,-242432.54657899973,-162411.7465789998,202.72727272727272,210.3252380952381,208.7604761904762,117.77367,120.18181818181819,,96.65876780701286,6054241.5828,62.1,41638.895000000004,5.0502280595626114,5.201843309518606,5.675291399532556,3.3513101122009337,72.13293321611928,78.58426089230139,492365.0960569451,803859.2177622694,0,Peronist baseline
2022-06-01,3896192.45,819.5734,793.0278,662.0938,880.3186,15577.85,161.45483436245786,2153.4545454545455,-396577.40000000014,-321644.40000000014,216.22727272727272,230.7490476190476,225.7238095238095,122.73574,125.04545454545455,,95.78958565207246,6524210.69005,71.3,40867.39,5.295221251628157,5.083387964535646,5.260850148703611,6.600777322789475,76.17303055106255,88.00477156779888,491305.9100828496,822696.340538125,0,Peronist baseline
2022-07-01,4215983.047619048,879.6383,851.761,694.6115,979.7957,15075.190476190477,152.44538769471922,2684.8571428571427,-131662.80000000028,-1945.30000000028,285.9047619047619,303.18916666666667,293.3475,128.44539047619048,132.23809523809524,87863363.94194473,91.86187578033885,7108374.439380952,85.7,40407.933333333334,7.406196857159353,7.3288005686861,4.911343377630173,11.300124750289275,122.58857312420193,136.04519052232388,494972.538965631,834550.3538411541,0,Peronist baseline
2022-08-01,4298228.454545454,939.4677,911.1316,738.3105,1064.731,14610.363636363636,151.46573902517952,2417.4347826086955,-370104.40000000026,-210051.80000000028,289.1521739130435,289.8956666666666,282.4486666666666,135.29029545454546,139.30434782608697,,91.6998751093668,7014471.524727273,90.0,37142.16818181818,6.970335575355069,6.801591063054002,6.291142602735489,8.668674500204476,113.7272100275605,114.27676367523728,471746.17306056054,769863.7084617933,0,Peronist baseline
2022-09-01,4180569.714285714,991.2585,967.3076,771.8891,1189.6609,14844.857142857143,149.17434933730516,2455.2,-4444.100000000428,80624.29999999958,279.5,294.7295238095238,285.43666666666667,143.62523333333334,146.72727272727272,,89.26500214316602,7084528.895285714,95.0,37232.642857142855,6.165519887577164,5.512781333514716,4.548032298064286,11.733470707624761,94.6036873279231,105.20734203125666,432186.1747272237,732396.6952483072,0,Peronist baseline
2022-10-01,4229952.7894736845,1046.265,1028.706,829.1011,1297.2889,14995.421052631578,146.5543949892783,2703.9473684210525,-185251.4000000008,-103049.1000000008,285.0952380952381,306.71750000000003,294.2815,152.5928947368421,155.11904761904762,104354529.22768565,88.36087856430608,7266136.886368421,99.6,39088.36315789474,6.34735010869345,5.5491579643453415,7.411945576119683,9.046947747883438,86.83388803057062,101.00378889132249,411191.61251841486,706337.5625658275,0,Peronist baseline
2022-11-01,4400164.428571428,1096.024,1079.2787,880.7676,1350.5167,15206.42857142857,148.0304944353064,2445.0476190476193,-531277.0999999994,-227838.2999999993,300.0,316.60333333333335,303.6595238095238,162.11833333333334,165.20454545454547,,90.1073900418011,7603166.535190476,100.0,37925.780952380956,4.9161470818679165,4.755869688845538,6.231628446759996,4.103002808395262,85.05001490680675,95.29150517626015,407694.91963210504,704467.3943060746,0,Peronist baseline
2022-12-01,4821671.55,1153.5771,1134.5875,925.7853,1413.2059,15718.8,146.18080800460334,2216.181818181818,-685100.9,-441512.0,324.77272727272725,334.71590909090907,325.29318181818184,172.90316,175.27272727272728,,93.21682334710337,8776763.542399999,94.7,40820.925,5.124607758867095,5.251080268315311,5.111189376175962,4.6418678125194734,87.8350443524151,93.58576736880289,424971.3265834499,773564.2726894133,0,Peronist baseline
2023-01-01,5292718.863636363,1215.3182,1202.979,991.5192,1525.1043,16261.90909090909,143.03019028687322,1956.590909090909,-537969.7000000002,-203938.30000000028,366.72727272727275,351.947619047619,340.4433333333333,182.24409090909091,185.0909090909091,120719556.7726799,95.14377117586676,9154478.991272727,95.0,43159.836363636365,6.027873566384256,5.352143346118776,7.100339571172709,7.9180535546872655,101.22862195307492,93.11880966455124,439967.6855237176,760984.1062290138,0,Peronist baseline
2023-02-01,5237316.222222222,1308.7788,1282.7091,1042.4951,1575.9625,16368.5,137.26202711167147,1976.25,-485590.90000000026,-228134.00000000023,375.8,368.0921052631579,355.48052631578946,191.89239444444445,194.8,,94.77299918081391,9225204.704611111,98.4,39898.77777777778,6.62772168092709,7.690216438789466,5.141191416162205,3.334735860360505,95.83892373014262,91.82214403485686,408301.1668212397,719196.9484438141,0,Peronist baseline
2023-03-01,5166708.090909091,1403.1434,1381.1601,1128.8908,1722.9662,16314.5,155.06056763767785,2290.1739130434785,-388005.79999999976,-257855.49999999977,381.0217391304348,389.6,378.1054545454545,203.10553636363636,205.95652173913044,,93.5963608751003,9292237.151090909,113.1,37943.09090909091,7.675239849783555,7.210125958641744,8.287396266898494,9.327867890257547,87.59790892566346,91.82145744292636,374084.66193811205,672784.9400725454,0,Peronist baseline
2023-04-01,5200756.166666667,1521.0163,1497.2147,1184.1465,1940.9169,15778.5,150.02108492538545,2501.9,-407387.9999999996,-331372.7999999996,419.475,425.6155,411.746,216.55591666666666,218.7,159215855.41502434,93.81871804049956,9815167.692111112,142.2,36971.944444444445,8.402689883670966,8.400631040277151,4.8946895483602315,12.649737412144235,93.70285811478254,96.53838442804035,347362.08285068715,655561.8036685796,0,Peronist baseline
2023-05-01,5394247.0,1640.2912,1613.5895,1291.1045,2056.8651,15293.65,153.7724057047539,2583.086956521739,-631071.7999999995,-247650.89999999944,479.19565217391306,455.40090909090907,446.81,231.19083500000002,236.7826086956522,,93.05552494331577,10471137.998550002,179.2,33545.0,7.772752965890595,7.841789729669557,9.032497245906645,5.973887908338571,107.27277193921334,96.98052004998772,334301.07223677397,648934.4407948863,0,Peronist baseline
2023-06-01,5600168.8,1746.7824,1709.6115,1383.8634,2094.7124,15447.1,152.5570318845307,2309.409090909091,-708603.4000000008,-611742.5000000009,487.8181818181818,490.0304761904762,476.802380952381,248.76167,256.0,,93.9700708020926,11234025.7245,162.7,31849.9,5.950831980500615,6.492213089968435,7.184461056405578,1.8400477503361712,96.098611903587,96.98793475316198,327569.67299295776,657109.8594329765,0,Peronist baseline
2023-07-01,6105240.666666667,1860.2801,1818.0838,1476.8552,2201.586,15480.809523809523,150.2229736893173,2017.0526315789473,-754243.1999999995,-334365.99999999953,516.5714285714286,512.9335,494.61899999999997,266.4646857142857,274.6666666666667,206516399.8417453,95.8542556724988,11985233.148666667,160.0,26070.095238095237,6.344850862315798,6.497529400342006,6.719723926508925,5.102065562795155,93.86112166672531,92.49586436755384,335806.33998645534,659223.3619081071,0,Peronist baseline
2023-08-01,6397005.409090909,2116.751,2044.2832,1599.0767,2436.0941,15238.272727272728,151.94203814941196,2046.3478260869565,-384504.4999999999,-36964.39999999991,671.304347826087,682.044090909091,602.8022727272727,322.1341,333.60869565217394,,104.8323248170218,12658917.0125,197.1,25280.227272727272,12.441637728689958,13.78668190881578,8.27579440421784,10.65178012578205,108.39282392832273,111.72675941761243,312921.68370267435,619234.9970150907,0,Peronist baseline
2023-09-01,6526667.857142857,2400.9928,2304.9242,1732.073,2794.0242,14998.857142857143,148.4322432681245,2246.4761904761904,-511532.7000000004,-380473.4000000004,734.9047619047619,758.3957142857142,679.9261904761905,349.9980142857143,357.0,,100.67235282755,13286628.061619049,193.9,27484.95238095238,12.749750132466954,13.42821144291415,8.317068218178658,14.69278629261488,109.97398039659627,116.68571915571273,283161.9303204356,576445.3365372731,0,Peronist baseline
2023-10-01,7144661.05,2612.5451,2496.273,1846.7566,3006.9009,14597.7,147.50696065384125,2549.2272727272725,-454248.89999999927,-330338.19999999925,933.4545454545455,919.9547619047619,839.1071428571429,350.020415,357.45454545454544,283181180.08567715,89.63512556192245,14985604.1816,202.7,25232.3,8.301739380410012,8.81103433546322,6.621175897320719,7.618999864067044,166.6857433028715,162.82888725355113,286213.12853201554,600319.1230125872,0,Peronist baseline
2023-11-01,7806569.8,2962.7206,2816.0628,2032.4708,3392.0317,14240.75,146.35949532905394,2321.090909090909,-754956.3999999994,-210484.39999999944,930.2045454545455,877.5076190476191,882.7942857142857,353.84040999999996,361.59090909090907,,83.20270403895672,15585935.65125,237.4,21398.8,12.81069017691574,13.403615501221399,10.056235889450726,12.80823056057483,162.88816064127488,147.99530925470586,277215.7566940623,553465.4856152355,0,Peronist baseline
